Model 1,Model 2,Recall
densenet_0_16,maxvit_0_16,0.7828632251197446
densenet_0_16,maxvit_1_2,0.7849920170303353
densenet_0_16,maxvit_1_8,0.7833954230973922
densenet_0_16,maxvit_1_16,0.7897817988291644
densenet_0_16,maxvit_0_2,0.7791378392762107
densenet_0_16,maxvit_0_8,0.7796700372538584
densenet_0_16,maxvit_0_32,0.7812666311868015
densenet_0_16,maxvit_1_32,0.7977647684938797
densenet_1_2,maxvit_0_16,0.7748802554550293
densenet_1_2,maxvit_1_2,0.7456093666844066
densenet_1_2,maxvit_1_8,0.7429483767961682
densenet_1_2,maxvit_1_16,0.775412453432677
densenet_1_2,maxvit_0_2,0.7445449707291112
densenet_1_2,maxvit_0_8,0.7530601383714742
densenet_1_2,maxvit_0_32,0.7700904736562001
densenet_1_2,maxvit_1_32,0.7945715806279936
densenet_1_8,maxvit_0_16,0.7860564129856307
densenet_1_8,maxvit_1_2,0.7860564129856307
densenet_1_8,maxvit_1_8,0.7865886109632784
densenet_1_8,maxvit_1_16,0.7935071846726982
densenet_1_8,maxvit_0_2,0.7812666311868015
densenet_1_8,maxvit_0_8,0.7807344332091538
densenet_1_8,maxvit_0_32,0.7849920170303353
densenet_1_8,maxvit_1_32,0.7982969664715274
densenet_1_16,maxvit_0_16,0.7839276210750399
densenet_1_16,maxvit_1_2,0.7759446514103246
densenet_1_16,maxvit_1_8,0.7722192655667909
densenet_1_16,maxvit_1_16,0.7908461947844598
densenet_1_16,maxvit_0_2,0.7700904736562001
densenet_1_16,maxvit_0_8,0.7732836615220862
densenet_1_16,maxvit_0_32,0.7807344332091538
densenet_1_16,maxvit_1_32,0.7972325705162321
densenet_0_2,maxvit_0_16,0.768493879723257
densenet_0_2,maxvit_1_2,0.7269824374667376
densenet_0_2,maxvit_1_8,0.7344332091538052
densenet_0_2,maxvit_1_16,0.7658328898350186
densenet_0_2,maxvit_0_2,0.7232570516232039
densenet_0_2,maxvit_0_8,0.7386907929749867
densenet_0_2,maxvit_0_32,0.7615753060138372
densenet_0_2,maxvit_1_32,0.7791378392762107
densenet_0_8,maxvit_0_16,0.7807344332091538
densenet_0_8,maxvit_1_2,0.775412453432677
densenet_0_8,maxvit_1_8,0.7732836615220862
densenet_0_8,maxvit_1_16,0.7876530069185738
densenet_0_8,maxvit_0_2,0.7711548696114955
densenet_0_8,maxvit_0_8,0.7727514635444386
densenet_0_8,maxvit_0_32,0.7812666311868015
densenet_0_8,maxvit_1_32,0.7871208089409261
densenet_0_32,maxvit_0_16,0.7727514635444386
densenet_0_32,maxvit_1_2,0.7759446514103246
densenet_0_32,maxvit_1_8,0.7653006918573709
densenet_0_32,maxvit_1_16,0.775412453432677
densenet_0_32,maxvit_0_2,0.7695582756785524
densenet_0_32,maxvit_0_8,0.7700904736562001
densenet_0_32,maxvit_0_32,0.7732836615220862
densenet_0_32,maxvit_1_32,0.7903139968068121
densenet_1_32,maxvit_0_16,0.7929749866950505
densenet_1_32,maxvit_1_2,0.7908461947844598
densenet_1_32,maxvit_1_8,0.7876530069185738
densenet_1_32,maxvit_1_16,0.7961681745609367
densenet_1_32,maxvit_0_2,0.7871208089409261
densenet_1_32,maxvit_0_8,0.7908461947844598
densenet_1_32,maxvit_0_32,0.7945715806279936
densenet_1_32,maxvit_1_32,0.7993613624268228
