Model 1,Model 2,Recall
DenseNet_0_2_clahe,maxvit_0_2_clahe,0.6695050558807877
DenseNet_0_2_clahe,maxvit_1_2_clahe,0.6860031931878658
DenseNet_0_2_clahe,maxvit_0_8_clahe,0.6774880255455029
DenseNet_0_2_clahe,maxvit_1_8_clahe,0.6886641830761043
DenseNet_0_2_clahe,maxvit_0_16_clahe,0.6817456093666844
DenseNet_0_2_clahe,maxvit_1_16_clahe,0.7030335284725918
DenseNet_0_2_clahe,maxvit_0_32_clahe,0.6961149547631719
DenseNet_0_2_clahe,maxvit_1_32_clahe,0.7051623203831825
DenseNet_1_2_clahe,maxvit_0_2_clahe,0.6641830761043108
DenseNet_1_2_clahe,maxvit_1_2_clahe,0.6849387972325706
DenseNet_1_2_clahe,maxvit_0_8_clahe,0.6758914316125598
DenseNet_1_2_clahe,maxvit_1_8_clahe,0.6918573709419904
DenseNet_1_2_clahe,maxvit_0_16_clahe,0.6844065992549229
DenseNet_1_2_clahe,maxvit_1_16_clahe,0.7067589143161256
DenseNet_1_2_clahe,maxvit_0_32_clahe,0.700904736562001
DenseNet_1_2_clahe,maxvit_1_32_clahe,0.7051623203831825
DenseNet_0_8_clahe,maxvit_0_2_clahe,0.700904736562001
DenseNet_0_8_clahe,maxvit_1_2_clahe,0.7035657264502395
DenseNet_0_8_clahe,maxvit_0_8_clahe,0.6998403406067057
DenseNet_0_8_clahe,maxvit_1_8_clahe,0.7040979244278872
DenseNet_0_8_clahe,maxvit_0_16_clahe,0.6929217668972858
DenseNet_0_8_clahe,maxvit_1_16_clahe,0.7083555082490687
DenseNet_0_8_clahe,maxvit_0_32_clahe,0.7062267163384779
DenseNet_0_8_clahe,maxvit_1_32_clahe,0.7083555082490687
DenseNet_1_8_clahe,maxvit_0_2_clahe,0.690792974986695
DenseNet_1_8_clahe,maxvit_1_2_clahe,0.6939861628525812
DenseNet_1_8_clahe,maxvit_0_8_clahe,0.6918573709419904
DenseNet_1_8_clahe,maxvit_1_8_clahe,0.6966471527408196
DenseNet_1_8_clahe,maxvit_0_16_clahe,0.6945183608302289
DenseNet_1_8_clahe,maxvit_1_16_clahe,0.700904736562001
DenseNet_1_8_clahe,maxvit_0_32_clahe,0.7025013304949441
DenseNet_1_8_clahe,maxvit_1_32_clahe,0.7115486961149547
DenseNet_0_16_clahe,maxvit_0_2_clahe,0.707823310271421
DenseNet_0_16_clahe,maxvit_1_2_clahe,0.711016498137307
DenseNet_0_16_clahe,maxvit_0_8_clahe,0.7051623203831825
DenseNet_0_16_clahe,maxvit_1_8_clahe,0.7072911122937733
DenseNet_0_16_clahe,maxvit_0_16_clahe,0.7094199042043641
DenseNet_0_16_clahe,maxvit_1_16_clahe,0.7147418839808408
DenseNet_0_16_clahe,maxvit_0_32_clahe,0.7120808940926024
DenseNet_0_16_clahe,maxvit_1_32_clahe,0.717935071846727
DenseNet_1_16_clahe,maxvit_0_2_clahe,0.6998403406067057
DenseNet_1_16_clahe,maxvit_1_2_clahe,0.7046301224055349
DenseNet_1_16_clahe,maxvit_0_8_clahe,0.6971793507184673
DenseNet_1_16_clahe,maxvit_1_8_clahe,0.7030335284725918
DenseNet_1_16_clahe,maxvit_0_16_clahe,0.7019691325172964
DenseNet_1_16_clahe,maxvit_1_16_clahe,0.7147418839808408
DenseNet_1_16_clahe,maxvit_0_32_clahe,0.7142096860031932
DenseNet_1_16_clahe,maxvit_1_32_clahe,0.7152740819584885
DenseNet_0_32_clahe,maxvit_0_2_clahe,0.7046301224055349
DenseNet_0_32_clahe,maxvit_1_2_clahe,0.700904736562001
DenseNet_0_32_clahe,maxvit_0_8_clahe,0.7019691325172964
DenseNet_0_32_clahe,maxvit_1_8_clahe,0.7067589143161256
DenseNet_0_32_clahe,maxvit_0_16_clahe,0.7062267163384779
DenseNet_0_32_clahe,maxvit_1_16_clahe,0.7083555082490687
DenseNet_0_32_clahe,maxvit_0_32_clahe,0.7099521021820117
DenseNet_0_32_clahe,maxvit_1_32_clahe,0.7115486961149547
DenseNet_1_32_clahe,maxvit_0_2_clahe,0.7040979244278872
DenseNet_1_32_clahe,maxvit_1_2_clahe,0.7136774880255455
DenseNet_1_32_clahe,maxvit_0_8_clahe,0.7104843001596594
DenseNet_1_32_clahe,maxvit_1_8_clahe,0.7115486961149547
DenseNet_1_32_clahe,maxvit_0_16_clahe,0.7046301224055349
DenseNet_1_32_clahe,maxvit_1_16_clahe,0.7174028738690793
DenseNet_1_32_clahe,maxvit_0_32_clahe,0.7168706758914316
DenseNet_1_32_clahe,maxvit_1_32_clahe,0.7147418839808408
