,model,dice coefficient,jaccard index
0,binary/BCEnoPOS_best,0.6487987694513286,0.480674127514322
1,binary/BCEnoPOS_last,0.6487987694513286,0.480674127514322
2,binary/BCECalcPOS_best,0.6263352691412728,0.45657719792205215
3,binary/BCECalcPOS_last,0.5212941719164877,0.35312251192863336
4,binary/BCE4POS_best,0.7332796702130276,0.5796318408788887
5,binary/BCE4POS_last,0.7344574333261269,0.5818263850367236
6,binary/DiceLoss_best,0.7880173832320265,0.6510113281097517
7,binary/DiceLoss_last,0.7880173832320265,0.6510113281097517
8,binary/FocalLoss_best,0.6245579199466874,0.4545620772179568
9,binary/FocalLoss_last,0.6593294670068267,0.4923578991388642
10,binary/TverskyLossBase_best,0.674353159848728,0.5097445109160249
11,binary/TverskyLossBase_last,0.7156047369252145,0.5581279957180891
12,binary/TverskyLoss25_best,0.7834710955974279,0.6450332216581874
13,binary/TverskyLoss25_last,0.7834710955974279,0.6450332216581874
14,binary/TverskyLoss75_best,0.7098157504458446,0.551327846514836
15,binary/TverskyLoss75_last,0.7019203971758045,0.5418791294912574
16,binary/FocalTverskyLossBase_best,0.7338655352031651,0.5804619547261497
17,binary/FocalTverskyLossBase_last,0.7259591418992294,0.5705954980250438
18,binary/FocalTverskyLoss25_best,0.7310044889202746,0.5776070701647797
19,binary/FocalTverskyLoss25_last,0.7837543984477748,0.6452568800282342
20,binary/FocalTverskyLoss75_best,0.7212709319375206,0.5654580994327602
21,binary/FocalTverskyLoss75_last,0.7040754323625779,0.5442785112393699
22,binary/LogCoshDice_best,0.7115510846020635,0.5534139892133637
23,binary/LogCoshDice_last,0.7111024121889459,0.5530398642723519
