,model,dice coefficient,jaccard index
0,multiclass/CEL_best,0.5604691628791048,0.45124302579539166
1,multiclass/CEL_last,0.5763916571290243,0.4729511459440366
2,multiclass/CELCalcWeights_best,0.4975157548375751,0.40496478236341077
3,multiclass/CELCalcWeights_last,0.3846886024041149,0.2883877655341756
4,multiclass/CELCustWeights_best,0.6100291766259264,0.5015566401181502
5,multiclass/CELCustWeights_last,0.6276173055270652,0.5154720616040892
6,multiclass/DiceLoss_best,0.6312580076204019,0.5142738919605621
7,multiclass/DiceLoss_last,0.6448146445726787,0.5327281733068149
8,multiclass/FocalLoss_best,0.5472436703490632,0.44350320579688796
9,multiclass/FocalLoss_last,0.547256846137954,0.44218798858142466
10,multiclass/TverskyLossBase_best,0.6425813435526516,0.5281812899728414
11,multiclass/TverskyLossBase_last,0.6425813435526516,0.5281812899728414
12,multiclass/TverskyLoss25_best,0.6122474570311803,0.5024683114103529
13,multiclass/TverskyLoss25_last,0.6122474570311803,0.5024683114103529
14,multiclass/TverskyLoss75_best,0.6422067401796854,0.5297617192686787
15,multiclass/TverskyLoss75_last,0.5966504576821764,0.4715712309258537
16,multiclass/FocalTverskyLoss_best,0.6454144312211665,0.5321396391262413
17,multiclass/FocalTverskyLoss_last,0.6454144312211665,0.5321396391262413
18,multiclass/LogCoshDice_best,0.6321886862867817,0.515481696301094
19,multiclass/LogCoshDice_last,0.6380716665444965,0.5264431712130876
