Model1,Model2,Recall
DenseNet_0_2_weighted,MaxVit_0_2_weighted,0.723257052
DenseNet_0_2_weighted,MaxVit_1_2_weighted,0.726982437
DenseNet_0_2_weighted,MaxVit_0_8_weighted,0.738690793
DenseNet_0_2_weighted,MaxVit_1_8_weighted,0.734433209
DenseNet_0_2_weighted,MaxVit_0_16_weighted,0.76849388
DenseNet_0_2_weighted,MaxVit_1_16_weighted,0.76583289
DenseNet_0_2_weighted,MaxVit_0_32_weighted,0.761575306
DenseNet_0_2_weighted,MaxVit_1_32_weighted,0.779137839
DenseNet_1_2_weighted,MaxVit_0_2_weighted,0.744544971
DenseNet_1_2_weighted,MaxVit_1_2_weighted,0.745609367
DenseNet_1_2_weighted,MaxVit_0_8_weighted,0.753060138
DenseNet_1_2_weighted,MaxVit_1_8_weighted,0.742948377
DenseNet_1_2_weighted,MaxVit_0_16_weighted,0.774880255
DenseNet_1_2_weighted,MaxVit_1_16_weighted,0.775412453
DenseNet_1_2_weighted,MaxVit_0_32_weighted,0.770090474
DenseNet_1_2_weighted,MaxVit_1_32_weighted,0.794571581
DenseNet_0_8_weighted,MaxVit_0_2_weighted,0.77115487
DenseNet_0_8_weighted,MaxVit_1_2_weighted,0.775412453
DenseNet_0_8_weighted,MaxVit_0_8_weighted,0.772751464
DenseNet_0_8_weighted,MaxVit_1_8_weighted,0.773283662
DenseNet_0_8_weighted,MaxVit_0_16_weighted,0.780734433
DenseNet_0_8_weighted,MaxVit_1_16_weighted,0.787653007
DenseNet_0_8_weighted,MaxVit_0_32_weighted,0.781266631
DenseNet_0_8_weighted,MaxVit_1_32_weighted,0.787120809
DenseNet_1_8_weighted,MaxVit_0_2_weighted,0.781266631
DenseNet_1_8_weighted,MaxVit_1_2_weighted,0.786056413
DenseNet_1_8_weighted,MaxVit_0_8_weighted,0.780734433
DenseNet_1_8_weighted,MaxVit_1_8_weighted,0.786588611
DenseNet_1_8_weighted,MaxVit_0_16_weighted,0.786056413
DenseNet_1_8_weighted,MaxVit_1_16_weighted,0.793507185
DenseNet_1_8_weighted,MaxVit_0_32_weighted,0.784992017
DenseNet_1_8_weighted,MaxVit_1_32_weighted,0.798296966
DenseNet_0_16_weighted,MaxVit_0_2_weighted,0.779137839
DenseNet_0_16_weighted,MaxVit_1_2_weighted,0.784992017
DenseNet_0_16_weighted,MaxVit_0_8_weighted,0.779670037
DenseNet_0_16_weighted,MaxVit_1_8_weighted,0.783395423
DenseNet_0_16_weighted,MaxVit_1_16_weighted,0.789781799
DenseNet_0_16_weighted,MaxVit_0_32_weighted,0.781266631
DenseNet_0_16_weighted,MaxVit_1_32_weighted,0.797764768
DenseNet_0_16_weighted,MaxVit_0_16_weighted_weighted,0.782863225
DenseNet_1_16_weighted,MaxVit_0_2_weighted,0.770090474
DenseNet_1_16_weighted,MaxVit_1_2_weighted,0.775944651
DenseNet_1_16_weighted,MaxVit_0_8_weighted,0.773283662
DenseNet_1_16_weighted,MaxVit_1_8_weighted,0.772219266
DenseNet_1_16_weighted,MaxVit_0_16_weighted,0.783927621
DenseNet_1_16_weighted,MaxVit_1_16_weighted,0.790846195
DenseNet_1_16_weighted,MaxVit_0_32_weighted,0.780734433
DenseNet_1_16_weighted,MaxVit_1_32_weighted,0.797232571
DenseNet_0_32_weighted,MaxVit_0_2_weighted,0.769558276
DenseNet_0_32_weighted,MaxVit_1_2_weighted,0.775944651
DenseNet_0_32_weighted,MaxVit_0_8_weighted,0.770090474
DenseNet_0_32_weighted,MaxVit_1_8_weighted,0.765300692
DenseNet_0_32_weighted,MaxVit_0_16_weighted,0.772751464
DenseNet_0_32_weighted,MaxVit_1_16_weighted,0.775412453
DenseNet_0_32_weighted,MaxVit_0_32_weighted,0.773283662
DenseNet_0_32_weighted,MaxVit_1_32_weighted,0.790313997
DenseNet_1_32_weighted,MaxVit_0_2_weighted,0.787120809
DenseNet_1_32_weighted,MaxVit_1_2_weighted,0.790846195
DenseNet_1_32_weighted,MaxVit_0_8_weighted,0.790846195
DenseNet_1_32_weighted,MaxVit_1_8_weighted,0.787653007
DenseNet_1_32_weighted,MaxVit_0_16_weighted,0.792974987
DenseNet_1_32_weighted,MaxVit_1_16_weighted,0.796168175
DenseNet_1_32_weighted,MaxVit_0_32_weighted,0.794571581
DenseNet_1_32_weighted,MaxVit_1_32_weighted,0.799361362
