Model1,Model2,Recall
DenseNet_opencv_0_2_weighted,MaxVit_opencv_0_2_weighted,0.641298563
DenseNet_opencv_0_2_weighted,MaxVit_opencv_1_2_weighted,0.634379989
DenseNet_opencv_0_2_weighted,MaxVit_opencv_0_8_weighted,0.653539117
DenseNet_opencv_0_2_weighted,MaxVit_opencv_1_8_weighted,0.649813731
DenseNet_opencv_0_2_weighted,MaxVit_opencv_0_16_weighted,0.66577967
DenseNet_opencv_0_2_weighted,MaxVit_opencv_1_16_weighted,0.658861096
DenseNet_opencv_0_2_weighted,MaxVit_opencv_0_32_weighted,0.672698244
DenseNet_opencv_0_2_weighted,MaxVit_opencv_1_32_weighted,0.675359234
DenseNet_opencv_1_2_weighted,MaxVit_opencv_0_2_weighted,0.647152741
DenseNet_opencv_1_2_weighted,MaxVit_opencv_1_2_weighted,0.646620543
DenseNet_opencv_1_2_weighted,MaxVit_opencv_0_8_weighted,0.662054284
DenseNet_opencv_1_2_weighted,MaxVit_opencv_1_8_weighted,0.661522086
DenseNet_opencv_1_2_weighted,MaxVit_opencv_0_16_weighted,0.670037254
DenseNet_opencv_1_2_weighted,MaxVit_opencv_1_16_weighted,0.662586482
DenseNet_opencv_1_2_weighted,MaxVit_opencv_0_32_weighted,0.676955828
DenseNet_opencv_1_2_weighted,MaxVit_opencv_1_32_weighted,0.679616817
DenseNet_opencv_0_8_weighted,MaxVit_opencv_0_2_weighted,0.668972858
DenseNet_opencv_0_8_weighted,MaxVit_opencv_1_2_weighted,0.667908462
DenseNet_opencv_0_8_weighted,MaxVit_opencv_0_8_weighted,0.669505056
DenseNet_opencv_0_8_weighted,MaxVit_opencv_1_8_weighted,0.669505056
DenseNet_opencv_0_8_weighted,MaxVit_opencv_0_16_weighted,0.671633848
DenseNet_opencv_0_8_weighted,MaxVit_opencv_1_16_weighted,0.671633848
DenseNet_opencv_0_8_weighted,MaxVit_opencv_0_32_weighted,0.680149015
DenseNet_opencv_0_8_weighted,MaxVit_opencv_1_32_weighted,0.687067589
DenseNet_opencv_1_8_weighted,MaxVit_opencv_0_2_weighted,0.678020224
DenseNet_opencv_1_8_weighted,MaxVit_opencv_1_2_weighted,0.671633848
DenseNet_opencv_1_8_weighted,MaxVit_opencv_0_8_weighted,0.674827036
DenseNet_opencv_1_8_weighted,MaxVit_opencv_1_8_weighted,0.672698244
DenseNet_opencv_1_8_weighted,MaxVit_opencv_0_16_weighted,0.675891432
DenseNet_opencv_1_8_weighted,MaxVit_opencv_1_16_weighted,0.669505056
DenseNet_opencv_1_8_weighted,MaxVit_opencv_0_32_weighted,0.683342203
DenseNet_opencv_1_8_weighted,MaxVit_opencv_1_32_weighted,0.681213411
DenseNet_opencv_0_16_weighted,MaxVit_opencv_0_2_weighted,0.657264502
DenseNet_opencv_0_16_weighted,MaxVit_opencv_1_2_weighted,0.651942523
DenseNet_opencv_0_16_weighted,MaxVit_opencv_0_8_weighted,0.661522086
DenseNet_opencv_0_16_weighted,MaxVit_opencv_1_8_weighted,0.658328898
DenseNet_opencv_0_16_weighted,MaxVit_opencv_0_16_weighted,0.662054284
DenseNet_opencv_0_16_weighted,MaxVit_opencv_1_16_weighted,0.664183076
DenseNet_opencv_0_16_weighted,MaxVit_opencv_0_32_weighted,0.66844066
DenseNet_opencv_0_16_weighted,MaxVit_opencv_1_32_weighted,0.681745609
DenseNet_opencv_1_16_weighted,MaxVit_opencv_0_2_weighted,0.67642363
DenseNet_opencv_1_16_weighted,MaxVit_opencv_1_2_weighted,0.677488026
DenseNet_opencv_1_16_weighted,MaxVit_opencv_0_8_weighted,0.679616817
DenseNet_opencv_1_16_weighted,MaxVit_opencv_1_8_weighted,0.673230442
DenseNet_opencv_1_16_weighted,MaxVit_opencv_0_16_weighted,0.680149015
DenseNet_opencv_1_16_weighted,MaxVit_opencv_1_16_weighted,0.676955828
DenseNet_opencv_1_16_weighted,MaxVit_opencv_0_32_weighted,0.67110165
DenseNet_opencv_1_16_weighted,MaxVit_opencv_1_32_weighted,0.683342203
DenseNet_opencv_0_32_weighted,MaxVit_opencv_0_2_weighted,0.664715274
DenseNet_opencv_0_32_weighted,MaxVit_opencv_1_2_weighted,0.662054284
DenseNet_opencv_0_32_weighted,MaxVit_opencv_0_8_weighted,0.66844066
DenseNet_opencv_0_32_weighted,MaxVit_opencv_1_8_weighted,0.670037254
DenseNet_opencv_0_32_weighted,MaxVit_opencv_0_16_weighted,0.672166046
DenseNet_opencv_0_32_weighted,MaxVit_opencv_1_16_weighted,0.672166046
DenseNet_opencv_0_32_weighted,MaxVit_opencv_0_32_weighted,0.666844066
DenseNet_opencv_0_32_weighted,MaxVit_opencv_1_32_weighted,0.683342203
DenseNet_opencv_1_32_weighted,MaxVit_opencv_0_2_weighted,0.66844066
DenseNet_opencv_1_32_weighted,MaxVit_opencv_1_2_weighted,0.66844066
DenseNet_opencv_1_32_weighted,MaxVit_opencv_0_8_weighted,0.67376264
DenseNet_opencv_1_32_weighted,MaxVit_opencv_1_8_weighted,0.675891432
DenseNet_opencv_1_32_weighted,MaxVit_opencv_0_16_weighted,0.67110165
DenseNet_opencv_1_32_weighted,MaxVit_opencv_1_16_weighted,0.67110165
DenseNet_opencv_1_32_weighted,MaxVit_opencv_0_32_weighted,0.680149015
DenseNet_opencv_1_32_weighted,MaxVit_opencv_1_32_weighted,0.685470995
