Model1,Model2,Recall
DenseNet_unetm_0_2_weighted,MaxVit_unetm_0_2_weighted,0.669505056
DenseNet_unetm_0_2_weighted,MaxVit_unetm_1_2_weighted,0.686003193
DenseNet_unetm_0_2_weighted,MaxVit_unetm_0_8_weighted,0.677488026
DenseNet_unetm_0_2_weighted,MaxVit_unetm_1_8_weighted,0.688664183
DenseNet_unetm_0_2_weighted,MaxVit_unetm_0_16_weighted,0.681745609
DenseNet_unetm_0_2_weighted,MaxVit_unetm_1_16_weighted,0.703033528
DenseNet_unetm_0_2_weighted,MaxVit_unetm_0_32_weighted,0.696114955
DenseNet_unetm_0_2_weighted,MaxVit_unetm_1_32_weighted,0.70516232
DenseNet_unetm_1_2_weighted,MaxVit_unetm_0_2_weighted,0.664183076
DenseNet_unetm_1_2_weighted,MaxVit_unetm_1_2_weighted,0.684938797
DenseNet_unetm_1_2_weighted,MaxVit_unetm_0_8_weighted,0.675891432
DenseNet_unetm_1_2_weighted,MaxVit_unetm_1_8_weighted,0.691857371
DenseNet_unetm_1_2_weighted,MaxVit_unetm_0_16_weighted,0.684406599
DenseNet_unetm_1_2_weighted,MaxVit_unetm_1_16_weighted,0.706758914
DenseNet_unetm_1_2_weighted,MaxVit_unetm_0_32_weighted,0.700904737
DenseNet_unetm_1_2_weighted,MaxVit_unetm_1_32_weighted,0.70516232
DenseNet_unetm_0_8_weighted,MaxVit_unetm_0_2_weighted,0.700904737
DenseNet_unetm_0_8_weighted,MaxVit_unetm_1_2_weighted,0.703565726
DenseNet_unetm_0_8_weighted,MaxVit_unetm_0_8_weighted,0.699840341
DenseNet_unetm_0_8_weighted,MaxVit_unetm_1_8_weighted,0.704097924
DenseNet_unetm_0_8_weighted,MaxVit_unetm_0_16_weighted,0.692921767
DenseNet_unetm_0_8_weighted,MaxVit_unetm_1_16_weighted,0.708355508
DenseNet_unetm_0_8_weighted,MaxVit_unetm_0_32_weighted,0.706226716
DenseNet_unetm_0_8_weighted,MaxVit_unetm_1_32_weighted,0.708355508
DenseNet_unetm_1_8_weighted,MaxVit_unetm_0_2_weighted,0.690792975
DenseNet_unetm_1_8_weighted,MaxVit_unetm_1_2_weighted,0.693986163
DenseNet_unetm_1_8_weighted,MaxVit_unetm_0_8_weighted,0.691857371
DenseNet_unetm_1_8_weighted,MaxVit_unetm_1_8_weighted,0.696647153
DenseNet_unetm_1_8_weighted,MaxVit_unetm_0_16_weighted,0.694518361
DenseNet_unetm_1_8_weighted,MaxVit_unetm_1_16_weighted,0.700904737
DenseNet_unetm_1_8_weighted,MaxVit_unetm_0_32_weighted,0.70250133
DenseNet_unetm_1_8_weighted,MaxVit_unetm_1_32_weighted,0.711548696
DenseNet_unetm_0_16_weighted,MaxVit_unetm_0_2_weighted,0.70782331
DenseNet_unetm_0_16_weighted,MaxVit_unetm_1_2_weighted,0.711016498
DenseNet_unetm_0_16_weighted,MaxVit_unetm_0_8_weighted,0.70516232
DenseNet_unetm_0_16_weighted,MaxVit_unetm_1_8_weighted,0.707291112
DenseNet_unetm_0_16_weighted,MaxVit_unetm_0_16_weighted,0.709419904
DenseNet_unetm_0_16_weighted,MaxVit_unetm_1_16_weighted,0.714741884
DenseNet_unetm_0_16_weighted,MaxVit_unetm_0_32_weighted,0.712080894
DenseNet_unetm_0_16_weighted,MaxVit_unetm_1_32_weighted,0.717935072
DenseNet_unetm_1_16_weighted,MaxVit_unetm_0_2_weighted,0.699840341
DenseNet_unetm_1_16_weighted,MaxVit_unetm_1_2_weighted,0.704630122
DenseNet_unetm_1_16_weighted,MaxVit_unetm_0_8_weighted,0.697179351
DenseNet_unetm_1_16_weighted,MaxVit_unetm_1_8_weighted,0.703033528
DenseNet_unetm_1_16_weighted,MaxVit_unetm_0_16_weighted,0.701969133
DenseNet_unetm_1_16_weighted,MaxVit_unetm_1_16_weighted,0.714741884
DenseNet_unetm_1_16_weighted,MaxVit_unetm_0_32_weighted,0.714209686
DenseNet_unetm_1_16_weighted,MaxVit_unetm_1_32_weighted,0.715274082
DenseNet_unetm_0_32_weighted,MaxVit_unetm_0_2_weighted,0.704630122
DenseNet_unetm_0_32_weighted,MaxVit_unetm_1_2_weighted,0.700904737
DenseNet_unetm_0_32_weighted,MaxVit_unetm_0_8_weighted,0.701969133
DenseNet_unetm_0_32_weighted,MaxVit_unetm_1_8_weighted,0.706758914
DenseNet_unetm_0_32_weighted,MaxVit_unetm_0_16_weighted,0.706226716
DenseNet_unetm_0_32_weighted,MaxVit_unetm_1_16_weighted,0.708355508
DenseNet_unetm_0_32_weighted,MaxVit_unetm_0_32_weighted,0.709952102
DenseNet_unetm_0_32_weighted,MaxVit_unetm_1_32_weighted,0.711548696
DenseNet_unetm_1_32_weighted,MaxVit_unetm_0_2_weighted,0.704097924
DenseNet_unetm_1_32_weighted,MaxVit_unetm_1_2_weighted,0.713677488
DenseNet_unetm_1_32_weighted,MaxVit_unetm_0_8_weighted,0.7104843
DenseNet_unetm_1_32_weighted,MaxVit_unetm_1_8_weighted,0.711548696
DenseNet_unetm_1_32_weighted,MaxVit_unetm_0_16_weighted,0.704630122
DenseNet_unetm_1_32_weighted,MaxVit_unetm_1_16_weighted,0.717402874
DenseNet_unetm_1_32_weighted,MaxVit_unetm_0_32_weighted,0.716870676
DenseNet_unetm_1_32_weighted,MaxVit_unetm_1_32_weighted,0.714741884
