,model,dice coefficient,jaccard index
0,multiclass/CEL_best,0.5604691628791048,0.45124302579539166
1,multiclass/CEL_last,0.5763916571290243,0.4729511459440366
2,multiclass/CELCalcWeights_best,0.4975157548375751,0.40496478236341077
3,multiclass/CELCalcWeights_last,0.3846886024041149,0.2883877655341756
4,multiclass/CELCustWeights_best,0.6100291766259264,0.5015566401181502
5,multiclass/CELCustWeights_last,0.6276173055270652,0.5154720616040892
6,multiclass/DiceLoss_best,0.6312580076204019,0.5142738919605621
7,multiclass/DiceLoss_last,0.6448146445726787,0.5327281733068149
8,multiclass/FocalLoss_best,0.5472436703490632,0.44350320579688796
9,multiclass/FocalLoss_last,0.547256846137954,0.44218798858142466
10,multiclass/TverskyLossBase_best,0.6424802783968634,0.5257286295104672
11,multiclass/TverskyLossBase_last,0.6144051118071192,0.49642995457723443
12,multiclass/TverskyLoss25_best,0.6302230359770499,0.5119099275244529
13,multiclass/TverskyLoss25_last,0.6312399566919228,0.517207559537301
14,multiclass/TverskyLoss75_best,0.6184463674721397,0.5096910689763031
15,multiclass/TverskyLoss75_last,0.6184463674721397,0.5096910689763031
16,multiclass/FocalTverskyLossBase_best,0.6185469305763808,0.4994279569602626
17,multiclass/FocalTverskyLossBase_last,0.6185469305763808,0.4994279569602626
18,multiclass/FocalTverskyLoss25_best,0.6335716968910864,0.5212474863943973
19,multiclass/FocalTverskyLoss25_last,0.6335716968910864,0.5212474863943973
20,multiclass/FocalTverskyLoss75_best,0.6074772041034388,0.49216926607940253
21,multiclass/FocalTverskyLoss75_last,0.5730165988666786,0.44956987508855084
22,multiclass/LogCoshDice_best,0.6321886862867817,0.515481696301094
23,multiclass/LogCoshDice_last,0.6380716665444965,0.5264431712130876
