,model,dice coefficient,jaccard index
0,BCEnoPOS_best,0.805573480028141,0.6745403194487679
1,BCEnoPOS_last,0.805573480028141,0.6745403194487679
2,BCECalcPOS_best,0.7487903365868182,0.5989384924649324
3,BCECalcPOS_last,0.7487903365868182,0.5989384924649324
4,BCE4POS_best,0.8008607019938783,0.6681203473721959
5,BCE4POS_last,0.8008607019938783,0.6681203473721959
6,DiceLoss_best,0.8187660214789615,0.693230796739313
7,DiceLoss_last,0.8241069162291832,0.7008503167362116
8,FocalLoss_best,0.8047783987428222,0.673442335548307
9,FocalLoss_last,0.8178208558782281,0.6919160171626938
10,TverskyLossBase_best,0.8212529907009184,0.6968104715963261
11,TverskyLossBase_last,0.8210222897875141,0.6963893684250339
12,TverskyLoss25_best,0.819834494230399,0.6947445579875154
13,TverskyLoss25_last,0.7993675118107668,0.665822416103978
14,TverskyLoss75_best,0.7851641032337578,0.6471400651787754
15,TverskyLoss75_last,0.7692768052983435,0.6253887632030154
16,FocalTverskyLossBase_best,0.8265994207156923,0.7045586781321883
17,FocalTverskyLossBase_last,0.8265994207156923,0.7045586781321883
18,FocalTverskyLoss25_best,0.8020728868383866,0.669645211525037
19,FocalTverskyLoss25_last,0.8103432933107637,0.6812658396750649
20,FocalTverskyLoss75_best,0.8014148327846629,0.6686467521882052
21,FocalTverskyLoss75_last,0.7843218772204495,0.6451965590624201
22,LogCoshDice_best,0.8225513818008495,0.6986461158966929
23,LogCoshDice_last,0.8225513818008495,0.6986461158966929
